Period,Age,Susceptible Number,Infectious Presymptomatic Number,Recovered Number,scenario
83,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
83,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
83,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
84,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
84,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
84,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
84,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
85,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
85,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
85,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
85,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
86,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
86,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
86,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
86,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
87,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
87,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
87,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
87,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
88,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
88,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
88,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
88,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
89,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
89,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
89,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
89,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
90,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
90,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
90,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
90,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
91,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
91,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
91,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
91,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
92,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
92,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
92,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
92,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
93,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
93,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
93,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
93,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
94,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
94,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
94,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
94,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
95,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
95,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
95,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
95,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
96,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
96,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
96,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
96,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
97,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
97,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
97,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
97,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
98,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
98,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
98,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
98,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
99,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
99,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
99,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
99,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
100,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
100,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
100,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
100,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
101,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
101,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
101,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
101,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
102,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
102,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
102,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
102,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
103,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
103,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
103,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
103,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
104,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
104,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
104,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
104,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
105,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
